coursePrefix,courseNum,fee,section,credits,prof,title,days,times,building,room,days2,times2,building2,room2
LAS,6938,0,15095,3,Tanya Saunders,Seminar in Modern Latin American Studies: Black in the Americas,T,7-9,,,,,,
LAS,6938,0,15096,3,Robert Walker,Seminar in Modern Latin American Studies: Seminar on Amazonia,F,6-8,,,,,,
LAS,6938,0,15097,3,Berta Hernandez,Seminar in Modern Latin American Studies: Human Rights,W,5-7,,,,,,
LAS,6938,0,15098,3,Nicholas Vargas,Seminar in Modern Latin American Studies: Race and Latinxs,M,6-8,,,,,,
LAS,6938,0,15099,3,Maria Martinez Novo,Seminar in Modern Latin American Studies: Ind & Inter Alliances in LA,W,8-10,,,,,,
LAS,6938,0,15100,3,Maria Martinez Novo,Seminar in Modern Latin American Studies: Latin American Elites,R,9-11,,,,,,
LAS,6938,0,15101,3,Rebecca Williams,Seminar in Modern Latin American Studies: Qualitative Data Analysis,T,11-E2,,,,,,
LAS,6938,0,21185,3,Pablo Herrera Veitia,"Seminar in Modern Latin American Studies: Cuba: Race, Rev & Culture",F,3-5,,,,,,
LAS,6938,0,21574,3,Renata Serra,Seminar in Modern Latin American Studies: Fnd of Eco Development in LA,R,2-4,NPB,1001,,,,
LAS,6938,0,21639,3,Catherine Tucker,Seminar in Modern Latin American Studies: Coffee Culture,T,4,,,R,4-5,,
LAS,6938,0,22173,3,Joel Correia,Seminar in Modern Latin American Studies: Human Rights in LA,M,3-5,GRI,0376,,,,
LAS,6938,0,28701,3,Maria Martinez Novo,Seminar in Modern Latin American Studies: Ind & Inter Alliances in LA,W,8-10,,,,,,
LAS,6938,0,28734,3,Joel Correia,Seminar in Modern Latin American Studies: Human Rights in LA,M,3-5,,,,,,
SWS,5050,0,20720,3,"James Bonczek,Todd Osborne",Soils for Environmental Professionals,,,,,,,,
SWS,5050,0,20721,3,Todd Osborne,Soils for Environmental Professionals,,,,,,,,
SWS,5050,0,20722,3,Todd Osborne,Soils for Environmental Professionals,,,,,,,,
SWS,5050,0,20723,3,Todd Osborne,Soils for Environmental Professionals,,,,,,,,
SWS,5050,0,20750,3,Todd Osborne,Soils for Environmental Professionals,,,,,,,,
SWS,5050,0,20751,3,Todd Osborne,Soils for Environmental Professionals,,,,,,,,
SWS,5050,0,20752,3,Todd Osborne,Soils for Environmental Professionals,,,,,,,,
SWS,5050,0,20753,3,Todd Osborne,Soils for Environmental Professionals,,,,,,,,
SWS,5050,0,20754,3,Todd Osborne,Soils for Environmental Professionals,,,,,,,,
SWS,5305C,9.99,20849,3,Andrew Ogram,Soil Microbial Ecology,,,,,,,,
SWS,5305C,0,20850,3,Andrew Ogram,Soil Microbial Ecology,"T,R",3,,,"M,W",7-9,,
SWS,5305C,0,20851,3,Andrew Ogram,Soil Microbial Ecology,,,,,,,,
SWS,5305C,0,20852,3,Andrew Ogram,Soil Microbial Ecology,,,,,,,,
SWS,5305C,0,21719,3,Andrew Ogram,Soil Microbial Ecology,,,,,,,,
SWS,5305C,0,22259,3,Andrew Ogram,Soil Microbial Ecology,,,,,,,,
SWS,5305C,0,27998,3,Andrew Ogram,Soil Microbial Ecology,,,,,,,,
WIS,6934,0,20143,3,Sarah Ernest,Topics in Wildlife Ecology and Conservation: BIODIVERSITY: PATTERNS/PROCESS,T,7,,,R,7-8,,
WIS,6934,0,20144,2,"Sarah Ernest,Ethan White",Topics in Wildlife Ecology and Conservation: ECOL. DYNAMICS & FORECASTING,"T,R",5,,,,,,
WIS,6934,0,20145,3,Ethan White,Topics in Wildlife Ecology and Conservation: DATA CARPENTRY FOR BIOLOGISTS,T,8,,,F,5-6,,
WIS,6934,0,20146,3,Lee Burton,Topics in Wildlife Ecology and Conservation: WILDLIFE TRACKS & SIGN,,,,,,,,
WIS,6934,0,20156,VAR,Lee Burton,Topics in Wildlife Ecology and Conservation: WILDLIFE TRACKS & SIGN,,,,,,,,
WIS,6934,0,20157,VAR,Lee Burton,Topics in Wildlife Ecology and Conservation: WILDLIFE TRACKS & SIGN,,,,,,,,
WIS,6934,0,20159,3,Benjamin Baiser,Topics in Wildlife Ecology and Conservation: MULTIVARIATE STATS LIFESCIENCE,T,4,,,R,3-4,,
WIS,6934,0,20161,3,Peter Frederick,Topics in Wildlife Ecology and Conservation: WETLANDS MGMT. & RESTORATION,T,7,,,R,6-8,,
WIS,6934,0,20162,VAR,Lee Burton,Topics in Wildlife Ecology and Conservation: WILDLIFE TRACKS & SIGN,,,,,,,,
WIS,6934,0,21571,3,"Thomas Waltzek,Kuttichantran Subramaniam",Topics in Wildlife Ecology and Conservation: DISEASE AND WILDLIFE,"M,W,F",8,MCCC,0100,,,,
WIS,6934,0,22272,VAR,Lee Burton,Topics in Wildlife Ecology and Conservation,,,,,,,,
WIS,6934,0,22273,VAR,Lee Burton,Topics in Wildlife Ecology and Conservation,,,,,,,,
WIS,6934,0,27829,3,Benjamin Baiser,Topics in Wildlife Ecology and Conservation: Multivariate Stats LifeScience,T,4,,,R,3-4,,
WIS,6934,0,28213,2,"Robert Mccleery,Paul Taillie",Topics in Wildlife Ecology and Conservation: Remote Sensing App. in Ecology,,,,,T,4,,
WIS,6934,0,28560,3,Ethan White,Topics in Wildlife Ecology and Conservation: Data Carpentry for Biologists,T,8,,,F,5-6,,
WIS,6934,0,28717,VAR,"Jennifer Moore,William Pine",Topics in Wildlife Ecology and Conservation: App. Generalized Linear Models,,,,,,,,
ABE,5643C,0,10013,3,"Ray Huffaker,Rafael Munoz-Carpena,Gregory Kiker",Biological Systems Modeling,"T,R",3,,,W,8-10,,
ABE,5643C,0,28466,3,"Ray Huffaker,Gregory Kiker,Rafael Munoz-Carpena",Biological Systems Modeling,"T,R",3,,,,,,
ANG,6930,0,21756,3,Kim Valenta,Special Topics in Anthropology: Primate Conservation,W,4-5,,,F,4,,
ANG,6930,0,25756,3,Valerie Deleon,Special Topics in Anthropology: Human Embryology,T,4,,,R,4-5,,
ANG,6930,0,25864,3,Steven Brandt,Special Topics in Anthropology: Stone Age Africa,T,3,,,R,3-4,,
ANG,6930,0,25866,3,Daniel Contreras,Special Topics in Anthropology: GIS for Archaeology,T,3,,,R,3-4,,
ANG,6930,0,25869,3,Daniel Contreras,Special Topics in Anthropology: Geoarchaeology,T,7-9,,,,,,
ANG,6930,0,25890,3,Katherine Grillo,Special Topics in Anthropology: Ethnoarchaeology & Exp Arch,W,4-6,,,,,,
ANG,6930,0,25921,3,Augusto Oyuela-Caycedo,Special Topics in Anthropology: Catastrophes,R,8-10,,,,,,
ANG,6930,0,25939,3,Michael Heckenberger,Special Topics in Anthropology: Urban Anthro/Space,M,8-10,,,,,,
ANG,6930,0,25943,3,Alix Johnson,"Special Topics in Anthropology: Gender,Sex & Ethnograph Fldwrk",M,6,,,W,6-7,,
ANG,6930,0,26006,VAR,Richard Kernaghan,Special Topics in Anthropology: Roads and Road Publics,W,5-7,,,,,,
ANG,6930,0,26024,3,Marit Ostebo,Special Topics in Anthropology: Dissertation Writing,T,9-11,,,,,,
ANG,6930,0,26030,3,Catherine Tucker,Special Topics in Anthropology: Coffee Culture,T,4,TUR,L005,R,4-5,TUR,L005
ANG,6930,0,26078,3,Robin Wright,Special Topics in Anthropology: Myth and Ritual,T,4,,,R,4-5,,
ANG,6930,0,26981,3,Stephanie Bogart,Special Topics in Anthropology: Evolutionary Medicine,T,5,,,R,5-6,,
ANG,6930,0,27542,3,George Broadwell,Special Topics in Anthropology: Linguistic Field Methods,T,2-3,,,R,3,,
ANG,6930,0,27958,2,"Michelle Lefebvre,David Blackburn",Special Topics in Anthropology: Intro to Natural Hist Museums,"T,R",7,,,,,,
