coursePrefix,courseNum,fee,section,credits,days,times,building,room,title,prof,days2,times2,building2,room2
AFA,4905,,8448,3,T,3-5,UST,0101,INDIVIDUAL STUDY,"Evans,Stephanie Y;",,,,
AFA,4937,,6867,3,T,8-10,UST,0108,AFRICAN-AM SEN SEM 2,"Thomas-Houston,Marilyn M;",,,,
AFS,2002,,0941,3,M W F,5,FAB,0103,AFRICAN EXPERIENCE,"Ostebo,Terje;",,,,
AFS,4260,,2475,3,T,3,TUR,2322,AFRICANS ABROAD,"Kane,Abdoulaye;",R,3-4,TUR,2346
AFS,4905,,DEPT,VAR,TBA,,,,ADVANCED SWAHILI,"Bwenge,Charles M;",,,,
AFS,4905,,DEPT,VAR,TBA,,,,INDIVIDUAL WORK,"Leslie,Agness N;",,,,
AFS,4905,,DEPT,3,TBA,,,,INTERMEDIATE ARABIC 2,"Haddad,Youssef A;",,,,
AFS,4935,,0897,3,T,5-6,MAT,0002,AFRICAN BUSIN CULTURE,"Bwenge,Charles M;",R,6,MAT,0002
AFS,4935,,0940,3,M,8,TUR,1101,FRANCO HIST & MEMORY,"Sow,Alioune Badaradiam;",W,8-9,TUR,1101
AFS,4935,,3326,3,M,3-4,MCCA,2186,CULT/HEALTH AFRICA,"Sonke,Jill K;Stoyan-Rosenzweig,Nina C;",W,3,MCCA,2186
AFS,4935,,5061,3,T,4,FLI,0119,HIST OF W AFRICA,"Obrien,Susan M;",R,4-5,FLI,0119
AFS,4935,,9740,3,T,7-9,FAC,0116A,HNR CULT & ID GLOBAL,"Babb,Florence E;Rovine,Victoria L;",,,,
AFS,6905,,DEPT,3,M,3-5,RNK,0225,FOUN ECO SUSTAIN DEV,"Serra,Renata;",,,,
AFS,6905,,2376,3,T,7-9,TUR,2341,DIASPORAS OF AFRICA,"Kane,Abdoulaye;",,,,
AFS,6905,,DEPT,1,TBA,,,,AFRICAN COLLOQUIUM,"Villalon,Leonardo Alfonso;",,,,
AFS,6905,,DEPT,VAR,TBA,,,,FRANCO HIST & MEMORY,"Sow,Alioune Badaradiam;",,,,
AFS,6905,,DEPT,3,TBA,,,,FRENCH COLONIAL,"Hanretta,Sean A;",,,,
AFS,6905,,8479,3,TBA,,,,INDIVIDUAL WORK,STAFF;,,,,
AFS,6905,,9767,3,T,2-4,LIT,0235,SUSTAINABLE DEV PRACT,"Barnes,Grenville;Child,Brian Anthony;",,,,
ABE,2012C,,0923,3,M W,2,ROG,0129,INTRO AGRIC/BIOL ENGR,"Leary,James Daniel;",M,8-9,ROG,0129
ABE,3000C,,4148,3,M W,4,ROG,0129,APPLS BIOLOGICAL ENG,"Pullammanappallil,P C;",F,4-6,ROG,0129
ABE,3212C,,1715,4,T,3-4,ROG,0211,LAND & WATER RES ENGR,"Scholtz,Richard V,III;",R,8-10,ROG,0151
ABE,3652C,,0137,3,T R,7,ROG,0129,PHYS/RHEOLOG PROP BIO,"Teixeira,Arthur A;",T,8-9,ROG,0129
ABE,3652C,,2632,3,T R,7,ROG,0129,PHYS/RHEOLOG PROP BIO,"Teixeira,Arthur A;",R,8-9,ROG,0129
ABE,4043C,,0138,2,W,8-9,ROG,0129,AGR/BIOL ENGR DES 2,"Turner,Allen E;",,,,
ABE,4303C,,0843,3,T R,5,ROG,0129,STRUC/ENVIRON DESIGN,"Bucklin,Ray A;Leary,James Daniel;",T,8-10,ROG,0110
ABE,4413C,,0855,3,T R,5,ROG,0129,POSTHARVEST OPER ENGR,"Bucklin,Ray A;",T,8-10,ROG,0110
