coursePrefix,courseNum,fee,section,credits,days,times,building,room,title,prof,days2,times2,building2,room2
MMC,2100,,DEPT,3,,,WEB,,WRITING MASS COMMUNIC,STAFF;,,,,
MMC,2100,,DEPT,3,,,WEB,,WRITING MASS COMMUNIC,STAFF;,,,,
MMC,2100,,DEPT,3,,,WEB,,WRITING MASS COMMUNIC,STAFF;,,,,
MMC,3203,,0422,3,,,WEB,,ETHICS/PROBS MASS COM,STAFF;,,,,
MMC,3203,,043D,3,,,WEB,,ETHICS/PROBS MASS COM,"Mallicoat,Megan E;",,,,
MMC,3203,,196E,3,M,10,WEIM,1070,ETHICS/PROBS MASS COM,STAFF;,W,1011,WEIM,1070
MMC,3203,,209H,3,,,WEB,,ETHICS/PROBS MASS COM,"Mallicoat,Megan E;",,,,
MMC,3203,,214E,3,,,WEB,,ETHICS/PROBS MASS COM,STAFF;,,,,
AFA,2000,,01EE,3,M W F,4,FAC,0127,INTR AFRICAN AMER STU,STAFF;,,,,
AFA,2000,,09E4,3,TBA,,,,INTR AFRICAN AMER STU,"Adejumo,Vincent E;",,,,
AFA,2000,,21H1,3,T,6,FAC,0127,INTR AFRICAN AMER STU,"Kendi,Ibram X;",R,6-7,FAC,0127
AFA,2000,,5460,3,TBA,,,,INTR AFRICAN AMER STU,"Adejumo,Vincent E;",,,,
AFA,3110,,087A,3,TBA,,,,AFR AM/BLK ATLN THGHT,STAFF;,,,,
AFA,3110,,1B56,3,M W F,6,CSE,E121,AFR AM/BLK ATLN THGHT,STAFF;,,,,
AFA,3110,,1E08,3,T,4,FAC,0120,AFR AM/BLK ATLN THGHT,"Celeste,Manoucheka;",R,4-5,FAC,0120
AFA,3930,,03D8,3,TBA,,,,AFR AMER LIT 1,"King,Debra Walker;",,,,
AFA,3930,,03EB,3,TBA,,,,AFRICAN AMERICAN LIT2,"Reid,Mark Allen;",,,,
AFA,3930,,05F5,3,M W F,7,AND,0013,MARTIN AND MALCOLM,"Simmons,Gwendolyn Delores;",,,,
AFA,3930,,1C52,3,T,5-6,FAC,0120,BLACK MASCULINITY,"Adejumo,Vincent E;",R,6,FAC,0120
AFA,3930,,1E66,3,T,1,TUR,2318,AMER CIVIL LIBERTIES,"Stafford,Samuel P;",R,1-2,TUR,2318
AFA,3930,,182B,3,TBA,,,,BLACK POWER MOVEMENT,STAFF;,,,,
AFA,3930,,22D6,3,M W F,1,LEI,0207,AM CONSTITUTIONAL LAW,"Stafford,Samuel P;",,,,
AFA,4430,,03DH,3,TBA,,,,BLACK LIVES MATTER,"Pearlman,Lauren;",,,,
AFA,4905,,DEPT,VAR,TBA,,,,INDIVIDUAL STUDY,"Austin,Sharon Denise;",,,,
AFA,4931,,008F,3,T,5-6,AND,0134,AFR AMER POLITICS,"Armstrong,Brandon D;",R,6,AND,0134
AFA,4931,,03EH,3,TBA,,,,BLACK WOMEN WRITERS,"King,Debra Walker;",,,,
AFA,4936,,01EA,3,T,7,FAC,0120,SENIOR SEMINAR,"Austin,Sharon Denise;",R,7-8,FAC,0120
AFA,4940,,DEPT,3,TBA,,,,AF AM INTERNSHIP,"Austin,Sharon Denise;",,,,
AFA,4970,,DEPT,3,TBA,,,,HONORS THESIS,"Austin,Sharon Denise;",,,,
AFS,2002,,109B,3,T,5,MAEB,0238,AFRICAN EXPERIENCE,"Serra,Renata;",R,5-6,NRN,0184
AFS,3800,,2285,3,T,3,MAT,0105,CHILDHD AFR LIT CINEM,"Sow,Alioune Badaradiam;",R,2-3,MAT,0112
AFS,4935,,08AB,3,TBA,,,,AFRICA TO 1800,"Obrien,Susan M;",,,,
AFS,4935,,2F62,3,T,7-9,TUR,2305,ANTHRO OF MOD AFRICA,"Kane,Abdoulaye;",,,,
AFS,4935,,203A,3,T R,3-4,MAT,0115,AFRICN IN GLOBAL ECON,"Serra,Renata;",,,,
AFS,4935,,22BA,3,T,4,CBD,0230,IMAGINING THE CONGO,"Hunt,Nancy Rose;",R,4-5,CBD,0234
AFS,4935,,2281,3,T,5-6,UST,0101,AFRICA LANG. WORLVIEW,"Bwenge,Charles M;",R,6,UST,0101
AFS,4935,,24H9,3,M,8-9,TUR,2305,ISLAM IN AFRICA,"Soares,Benjamin;",W,9,TUR,2306
AFS,5061,,DEPT,1,TBA,,,,AFRICANA BIBLIOGRAPHY,"Reboussin,Daniel A;",,,,
AFS,6305,,1E24,3,TBA,,,,DEV THEORY & PRAC INT,"Schmink,Marianne C;",,,,
AFS,6905,,DEPT,3,TBA,,,,SAHEL SEMINAR,"Villalon,Leonardo Alfonso;",,,,
AFS,6905,,046D,3,R,7-9,UST,0108,CONSERVATION/DEV PRAC,"Galloway,Glenn;",,,,
AFS,6905,,0460,3,W,3-5,WEIM,3024,DEVELOPMENT ADMINS,"Galloway,Glenn;",,,,
AFS,6905,,2F61,3,T,7-9,TUR,2305,ANTHRO OF MOD AFRICA,"Kane,Abdoulaye;",,,,
AFS,6905,,24H1,3,M,8-9,MAT,0107,ISLAM IN AFRICA,"Soares,Benjamin;",W,9,AND,0101
ABE,2012C,,0127,3,M W,4,ROG,0110,INTRO BIOLOGICAL ENGR,"Leary,James Daniel;",M,8,ROG,0211
ABE,2012C,,03H5,3,M W,4,ROG,0110,INTRO BIOLOGICAL ENGR,"Leary,James Daniel;",M,9,ROG,0211
ABE,3612C,,0129,4,M W F,5,ROG,0129,HEAT/MASS TRANS BIOL,"Pelletier,William;",R,8-10,ROG,0129
ABE,4042C,,0128,2,W,7,ROG,0110,BIOLOGICAL ENG DESN 1,"Scholtz,Richard V,III;",F,7-8,ROG,0110
ABE,4171,,04HC,3,T R,2-3,ROG,0110,POWER/MACH BIOLOG SYS,"Burks,Thomas Francis;",,,,
ABE,4231C,,0490,4,M W F,6,ROG,0106,IRRIGA/DRAINAGE ENGR,"Scholtz,Richard V,III;",T,5-7,ROG,0106
ABE,4655C,,2H79,3,T,2,ROG,0211,BIO-BASED PRODUCTS,"Tong,Zhaohui;",R,2-3,ROG,0211
ABE,4662,,8059,3,M W F,3,ROG,0110,QUANTIFICA BIOL PROC,"Correll,Melanie J;",,,,
ABE,4812,,0047,4,M W F,6,ROG,0110,FOOD ENGINEER UNIT OP,"Pullammanappallil,P C;",M,7-8,ROG,0110
ABE,4905,,DEPT,VAR,TBA,,,,INDUSTRIAL HYGIENE,"Correll,Melanie J;",,,,
ABE,4905,,DEPT,VAR,TBA,,,,INDIVIDUAL STUDY,"Leary,James Daniel;",,,,
ABE,4912,,DEPT,3,T,8-10,PUGH,170,INTEG PROD/PROC DES 1,"Leary,James Daniel;",,,,
ABE,4932,,183C,3,T R,4,ROG,0110,BIOPROCESS ENGINEERNG,"Pullammanappallil,P C;",R,5,ROG,0110
ABE,4935,,DEPT,2,T,8-9,ROG,0283,GRANT WRITING UGRADS,"McLamore,Eric;",,,,
ABE,4949,,DEPT,VAR,TBA,,,,WK EXP BIOLOGICL ENGR,"Leary,James Daniel;",,,,
ABE,5332,,DEPT,3,T R,6-7,ROG,0283,ADV AGRIC STRUCTURES,"Bucklin,Ray A;",,,,
ABE,5442,,3754,3,T R,4,ROG,0110,ADV PROCESS ENGINEER,"Pullammanappallil,P C;",R,5,ROG,0110
ABE,5643C,,0413,3,T R,3,ROG,0283,BIOLOGICAL SYS MODEL,"Huffaker,Ray G;Kiker,Gregory A;",W,8-10,ROG,0283
ABE,5815C,,1532,4,M W F,6,ROG,0110,FOOD/BIOPROC ENGR DES,"Pullammanappallil,P C;",M,7-8,ROG,0110
ABE,5936,,05C6,2,T,8-9,ROG,0283,GRANT WRITING GRADS,"McLamore,Eric;",,,,
ABE,6266,,01E2,3,T R,4-5,ROG,0211,NANOTECH IN WATER RSH,"Gao,Bin;",,,,
ABE,6654C,,2G95,3,T,2,ROG,0211,ADV BIOBASED PRODUCTS,"Tong,Zhaohui;",R,2-3,ROG,0211
ABE,6905,,DEPT,VAR,TBA,,,,INDUSTRIAL HYGIENE,"Correll,Melanie J;",,,,
ABE,6931,,DEPT,1,TBA,,,,SEMINAR,"Scholtz,Richard V,III;",,,,
ABE,6931,,4190,1,M,7,ROG,0283,SEMINAR,"Scholtz,Richard V,III;",,,,
ABE,6933,,2F86,3,M,2-4,ROG,0283,DATA DIGNOSTICS,"Huffaker,Ray G;",,,,
ABE,6933,,2080,3,T R,4-5,ROG,0129,STAT/MACHINE LEARNING,"Bliznyuk,Nikolay A;",,,,
ABE,6933,,2084,3,M,5,ROG,0283,STOCH MDLNG ECOL-HYDR,"Muneepeerakul,Rachata;",W,5-6,ROG,0283
ABE,6940,,DEPT,VAR,TBA,,,,SUPERVISED TEACHING,"Kiker,Gregory A;",,,,
ABE,6971,,0141,VAR,TBA,,,,MASTERS RESEARCH,"Kiker,Gregory A;",,,,
ABE,6971,,DEPT,VAR,TBA,,,,MASTERS RESEARCH,"Kiker,Gregory A;",,,,
ABE,6971,,DEPT,VAR,TBA,,,,MASTERS RESEARCH,"Kiker,Gregory A;",,,,
ABE,7979,,0143,VAR,TBA,,,,ADVANCED RESEARCH,"Kiker,Gregory A;",,,,
ABE,7979,,DEPT,VAR,TBA,,,,ADVANCED RESEARCH,"Kiker,Gregory A;",,,,
ABE,7979,,DEPT,VAR,TBA,,,,ADVANCED RESEARCH,"Kiker,Gregory A;",,,,
ABE,7980,,DEPT,VAR,TBA,,,,DOCTORAL RESEARCH,"Kiker,Gregory A;",,,,
ABE,7980,,DEPT,VAR,TBA,,,,DOCTORAL RESEARCH,"Kiker,Gregory A;",,,,
ABE,7980,,DEPT,VAR,TBA,,,,DOCTORAL RESEARCH,"Kiker,Gregory A;",,,,
ABE,7980,,9755,VAR,TBA,,,,DOCTORAL RESEARCH,"Kiker,Gregory A;",,,,
EGN,4912,,DEPT,VAR,TBA,,,,ENGINEERING RESEARCH,"Leary,James Daniel;",,,,
AEC,3030C,,0145,3,T,5-6,MCCC,0100,EFFECT ORAL COMMUNICA,STAFF;,M,4-5,ROL,0306
AEC,3030C,,0146,3,T,5-6,MCCC,0100,EFFECT ORAL COMMUNICA,STAFF;,M,4-5,TUR,2303
AEC,3030C,,0147,3,T,5-6,MCCC,0100,EFFECT ORAL COMMUNICA,STAFF;,F,5-6,ROL,0306
