coursePrefix,courseNum,title,subCategory
SUR,5525,Least Squares Adjustment Computations,Research & Design
SUR,6375,Terrain Analysis and Mapping,Research & Design
STA,5106,Computer Programs in Statistical Analysis,Research & Design
STA,5223,Applied Sample Survey Methods,Research & Design
STA,5325,Fundamentals of Probability,Research & Design
STA,5507,Applied Nonparametric Methods,Research & Design
STA,5701,Applied Multivariate Methods,Research & Design
STA,6126,Statistical Methods in Social Research I,Research & Design
STA,6127,Statistical Methods in Social Research II,Research & Design
STA,6166,Statistical Methods in Research I,Research & Design
STA,6167,Statistical Methods in Research II,Research & Design
STA,6176,Introduction to Biostatistics,Research & Design
STA,6178,Genetic Data Analysis,Research & Design
STA,6209,Design and Analysis of Experiments,Research & Design
STA,6226,Sampling Theory and Applications,Research & Design
STA,6526,Nonparametric Statistics,Research & Design
STA,6934,Special Topics in Statistics: Statistical Ecology,Research & Design
SYA,6407,Quantitative Research Methods,Research & Design
SWS,5424C,Soil Chemical Analysis,Research & Design
SWS,6373,Techniques in Microbial Ecology,Research & Design
URP,6231,Quantitative Data Analysis for Planners,Research & Design
URP,6270,Survey of Planning & Information Systems,Research & Design
URP,6271,Planning Information Systems,Research & Design
URP,6272,Spatial Analysis for Planners,Research & Design
URP,6274,GPS for Planners,Research & Design
URP,6275,Spatial Database Design & Development,Research & Design
URP,6905,Exploration and Directed Study: Image Processing,Research & Design
VME,6607,Human Health Risk Assessment,Research & Design
WIS,6934,Biometry,Research & Design
ZOO,6308,Dynamic Optimization Modeling in Behavioral and Evolutionary Ecology,Research & Design
ZOO,6927,Special Topics in Zoology: Statistical Principles for the Biological Sciences,Research & Design
ZOO,6927,Special Topics in Zoology: Quantitative Methods in Ecology,Research & Design
ZOO,6927,Special Topics in Zoology: Ecological Modeling of Data,Research & Design
